individual,gen,treatment,treat,day,mortality
G4D_-9,Gen4:D,infected,Gen4:Dheat,5,2
G4D_-10,Gen4:D,infected,Gen4:Dheat,5,1
G4D_-11,Gen4:D,infected,Gen4:Dheat,5,2
G4D_-12,Gen4:D,infected,Gen4:Dheat,5,2
G4D_-1,Gen4:D,control,Gen4:Dcontrol,6,1
G4D_-2,Gen4:D,control,Gen4:Dcontrol,6,1
G4D_-3,Gen4:D,control,Gen4:Dcontrol,6,1
G4D_-4,Gen4:D,control,Gen4:Dcontrol,6,1
G4D_-5,Gen4:D,control,Gen4:Dcontrol,6,1
G4D_-6,Gen4:D,control,Gen4:Dcontrol,6,1
G4D_-7,Gen4:D,control,Gen4:Dcontrol,6,1
G4D_-8,Gen4:D,control,Gen4:Dcontrol,6,1
G4D_-9,Gen4:D,control,Gen4:Dcontrol,6,1
G4D_-10,Gen4:D,control,Gen4:Dcontrol,6,1
G4D_-11,Gen4:D,control,Gen4:Dcontrol,6,1
G4D_-12,Gen4:D,control,Gen4:Dcontrol,6,1
G4D_-1,Gen4:D,infected,Gen4:Dheat,6,2
G4D_-2,Gen4:D,infected,Gen4:Dheat,6,2
G4D_-3,Gen4:D,infected,Gen4:Dheat,6,2
G4D_-4,Gen4:D,infected,Gen4:Dheat,6,1
G4D_-5,Gen4:D,infected,Gen4:Dheat,6,2
G4D_-6,Gen4:D,infected,Gen4:Dheat,6,2
G4D_-7,Gen4:D,infected,Gen4:Dheat,6,2
G4D_-8,Gen4:D,infected,Gen4:Dheat,6,2
G4D_-9,Gen4:D,infected,Gen4:Dheat,6,2
G4D_-10,Gen4:D,infected,Gen4:Dheat,6,1
G4D_-11,Gen4:D,infected,Gen4:Dheat,6,2
G4D_-12,Gen4:D,infected,Gen4:Dheat,6,2
G4D_-1,Gen4:D,control,Gen4:Dcontrol,7,1
G4D_-2,Gen4:D,control,Gen4:Dcontrol,7,1
G4D_-3,Gen4:D,control,Gen4:Dcontrol,7,1
G4D_-4,Gen4:D,control,Gen4:Dcontrol,7,1
G4D_-5,Gen4:D,control,Gen4:Dcontrol,7,1
G4D_-6,Gen4:D,control,Gen4:Dcontrol,7,1
G4D_-7,Gen4:D,control,Gen4:Dcontrol,7,1
G4D_-8,Gen4:D,control,Gen4:Dcontrol,7,1
G4D_-9,Gen4:D,control,Gen4:Dcontrol,7,1
G4D_-10,Gen4:D,control,Gen4:Dcontrol,7,1
G4D_-11,Gen4:D,control,Gen4:Dcontrol,7,1
G4D_-12,Gen4:D,control,Gen4:Dcontrol,7,1
G4D_-1,Gen4:D,infected,Gen4:Dheat,7,2
G4D_-2,Gen4:D,infected,Gen4:Dheat,7,2
G4D_-3,Gen4:D,infected,Gen4:Dheat,7,2
G4D_-4,Gen4:D,infected,Gen4:Dheat,7,2
G4D_-5,Gen4:D,infected,Gen4:Dheat,7,2
G4D_-6,Gen4:D,infected,Gen4:Dheat,7,2
G4D_-7,Gen4:D,infected,Gen4:Dheat,7,2
G4D_-8,Gen4:D,infected,Gen4:Dheat,7,2
G4D_-9,Gen4:D,infected,Gen4:Dheat,7,2
G4D_-10,Gen4:D,infected,Gen4:Dheat,7,2
G4D_-11,Gen4:D,infected,Gen4:Dheat,7,2
G4D_-12,Gen4:D,infected,Gen4:Dheat,7,2
