individual,gen,treatment,treat,day,percent_tissue_loss
G1C_2,ECAH,control,Gen1:Ccontrol,5,0
G1C_3,ECAH,control,Gen1:Ccontrol,5,0
G1C_4,ECAH,control,Gen1:Ccontrol,5,0
G1C_5,ECAH,control,Gen1:Ccontrol,5,0
G1C_6,ECAH,control,Gen1:Ccontrol,5,0
G1C_7,ECAH,control,Gen1:Ccontrol,5,0
G1C_8,ECAH,control,Gen1:Ccontrol,5,0
G1C_9,ECAH,control,Gen1:Ccontrol,5,0
G1C_10,ECAH,control,Gen1:Ccontrol,5,0
G1C_11,ECAH,control,Gen1:Ccontrol,5,0
G1C_12,ECAH,control,Gen1:Ccontrol,5,0
G1C_1,ECAH,infected,Gen1:Cinf,5,0
G1C_2,ECAH,infected,Gen1:Cinf,5,0
G1C_3,ECAH,infected,Gen1:Cinf,5,0
G1C_4,ECAH,infected,Gen1:Cinf,5,0
G1C_5,ECAH,infected,Gen1:Cinf,5,0
G1C_6,ECAH,infected,Gen1:Cinf,5,0
G1C_7,ECAH,infected,Gen1:Cinf,5,0
G1C_8,ECAH,infected,Gen1:Cinf,5,0
G1C_9,ECAH,infected,Gen1:Cinf,5,0
G1C_10,ECAH,infected,Gen1:Cinf,5,0
G1C_11,ECAH,infected,Gen1:Cinf,5,0
G1C_12,ECAH,infected,Gen1:Cinf,5,0
G1C_1,ECAH,control,Gen1:Ccontrol,6,0
G1C_2,ECAH,control,Gen1:Ccontrol,6,0
G1C_3,ECAH,control,Gen1:Ccontrol,6,0
G1C_4,ECAH,control,Gen1:Ccontrol,6,0
G1C_5,ECAH,control,Gen1:Ccontrol,6,0
G1C_6,ECAH,control,Gen1:Ccontrol,6,0
G1C_7,ECAH,control,Gen1:Ccontrol,6,0
G1C_8,ECAH,control,Gen1:Ccontrol,6,0
G1C_9,ECAH,control,Gen1:Ccontrol,6,0
G1C_10,ECAH,control,Gen1:Ccontrol,6,0
G1C_11,ECAH,control,Gen1:Ccontrol,6,0
G1C_12,ECAH,control,Gen1:Ccontrol,6,0
G1C_1,ECAH,infected,Gen1:Cinf,6,0
G1C_2,ECAH,infected,Gen1:Cinf,6,0
G1C_3,ECAH,infected,Gen1:Cinf,6,0
G1C_4,ECAH,infected,Gen1:Cinf,6,0
G1C_5,ECAH,infected,Gen1:Cinf,6,0
G1C_6,ECAH,infected,Gen1:Cinf,6,0
G1C_7,ECAH,infected,Gen1:Cinf,6,0
G1C_8,ECAH,infected,Gen1:Cinf,6,0
G1C_9,ECAH,infected,Gen1:Cinf,6,0
G1C_10,ECAH,infected,Gen1:Cinf,6,0
G1C_11,ECAH,infected,Gen1:Cinf,6,0
G1C_12,ECAH,infected,Gen1:Cinf,6,0
G1C_1,ECAH,control,Gen1:Ccontrol,7,0
G1C_2,ECAH,control,Gen1:Ccontrol,7,0
